Pares de ROIs com correlação absoluta maior que 0.5:
                          ROI_1                           ROI_2  Correlacao
                Right-VentralDC                  Left-VentralDC    0.959502
                 Right-Thalamus                   Left-Thalamus    0.933443
                  ctx-rh-insula                   ctx-lh-insula    0.925078
                  Right-Caudate                    Left-Caudate    0.924139
        Right-Lateral-Ventricle          Left-Lateral-Ventricle    0.917694
         ctx-rh-superiorfrontal          ctx-lh-superiorfrontal    0.909415
               ctx-rh-precuneus                ctx-lh-precuneus    0.895360
           Right-choroid-plexus             Left-choroid-plexus    0.882800
                  Right-Putamen                    Left-Putamen    0.878323
                Right-VentralDC                      Brain-Stem    0.877406
                 Left-VentralDC                      Brain-Stem    0.876643
                   hpcr_wm_left               ctx-lh-entorhinal    0.856012
                  hpcr_wm_right               ctx-rh-entorhinal    0.850648
                     Brain-Stem    Left-Cerebellum-White-Matter    0.840767
                 Left-VentralDC                   Left-Thalamus    0.833330
              Right-Hippocampus                Left-Hippocampus    0.832304
                 Left-VentralDC      Left-Cerebral-White-Matter    0.818810
                Right-VentralDC                  Right-Thalamus    0.816655
           Right-Accumbens-area             Left-Accumbens-area    0.815956
                Right-VentralDC      Left-Cerebral-White-Matter    0.811826
                 Right-Thalamus                  Left-VentralDC    0.808599
          ctx-rh-middletemporal           ctx-lh-middletemporal    0.806565
        ctx-rh-lateraloccipital         ctx-lh-lateraloccipital    0.806319
                Right-VentralDC                   Left-Thalamus    0.805507
    ctx-rh-rostralmiddlefrontal     ctx-lh-rostralmiddlefrontal    0.804215
        ctx-lh-superiorparietal                ctx-lh-precuneus    0.795684
           ctx-rh-pericalcarine            ctx-lh-pericalcarine    0.792915
        ctx-rh-inferiorparietal         ctx-lh-inferiorparietal    0.790178
             ctx-rh-postcentral              ctx-lh-postcentral    0.788438
        ctx-rh-superiortemporal         ctx-lh-superiortemporal    0.787655
                 Left-VentralDC                   Left-Pallidum    0.781069
                  Left-Amygdala                Left-Hippocampus    0.767870
                Right-VentralDC                   Left-Pallidum    0.764897
        ctx-lh-lateraloccipital                   ctx-lh-cuneus    0.763919
           ctx-rh-supramarginal            ctx-lh-supramarginal    0.761188
                  Left-Thalamus      Left-Cerebral-White-Matter    0.759316
                 Left-VentralDC    Left-Cerebellum-White-Matter    0.758554
                Right-VentralDC    Left-Cerebellum-White-Matter    0.758207
     ctx-rh-medialorbitofrontal      ctx-lh-medialorbitofrontal    0.752070
        ctx-rh-inferiortemporal         ctx-lh-inferiortemporal    0.751485
         ctx-rh-superiorfrontal     ctx-lh-rostralmiddlefrontal    0.742817
                 Right-Thalamus      Left-Cerebral-White-Matter    0.741929
               ctx-rh-precuneus         ctx-lh-superiorparietal    0.740851
     ctx-lh-medialorbitofrontal     ctx-lh-lateralorbitofrontal    0.740226
          ctx-lh-middletemporal         ctx-lh-inferiorparietal    0.739243
     ctx-rh-medialorbitofrontal     ctx-lh-lateralorbitofrontal    0.737238
ctx-lh-rostralanteriorcingulate  ctx-lh-caudalanteriorcingulate    0.736415
         ctx-rh-superiorfrontal     ctx-lh-lateralorbitofrontal    0.733025
              ctx-rh-entorhinal               ctx-lh-entorhinal    0.727991
        ctx-rh-lateraloccipital                   ctx-rh-cuneus    0.723650
         Left-Cerebellum-Cortex    Left-Cerebellum-White-Matter    0.722709
                     Brain-Stem      Left-Cerebral-White-Matter    0.720893
                  hpcr_wm_right                    hpcr_wm_left    0.719884
